user_id,name,age,gender,country,signup_date,membership_type,preferred_genre
1,Kenneth Quinn,62,Female,Iran,2022-08-06,Premium,Thriller
2,Pamela Grant,12,Female,Saint Pierre and Miquelon,2025-03-25,Free,Sci-Fi
3,Danny Weaver,29,Other,United States of America,2023-03-29,Premium,Sci-Fi
4,Anita Davis,65,Female,Fiji,2022-11-25,VIP,Horror
5,Todd Higgins,12,Female,Kenya,2020-10-10,Free,Action
6,Gabriel Johnson,13,Male,Honduras,2021-04-06,Premium,Romance
7,Troy Wilkerson,33,Male,Zambia,2023-11-18,VIP,Thriller
8,Philip Osborn,27,Other,Romania,2022-05-16,Premium,Horror
9,Carrie Green,51,Other,Isle of Man,2021-03-21,Premium,Action
10,Nathaniel Osborn,63,Other,Estonia,2023-02-23,Premium,Comedy
11,Walter Norman,52,Female,Korea,2021-12-15,VIP,Comedy
12,Scott Weber,37,Female,Cape Verde,2024-01-03,VIP,Comedy
13,Eric Vazquez,39,Male,Tunisia,2025-04-13,Free,Comedy
14,Trevor Hernandez,44,Male,Libyan Arab Jamahiriya,2024-07-13,VIP,Thriller
15,Amy Carson,65,Other,Haiti,2025-05-31,Premium,Comedy
16,Natasha Rodriguez,32,Male,Montserrat,2023-10-09,Free,Drama
17,Daniel Clark,13,Female,Monaco,2021-08-27,Free,Comedy
18,Gary Rice,13,Other,Bangladesh,2025-03-05,VIP,Drama
19,Michael Williams,48,Female,Saint Martin,2020-06-23,Free,Comedy
20,Brandon Walter,41,Other,Kazakhstan,2023-03-20,VIP,Romance
21,Michael Serrano,23,Male,Portugal,2024-11-26,VIP,Horror
22,Lindsay Boyle,31,Male,Malawi,2024-04-30,VIP,Horror
23,Casey Brown,58,Female,Turkmenistan,2022-06-18,Premium,Action
24,Roy Smith,29,Male,Ireland,2023-04-22,Free,Action
25,Elizabeth Alexander,52,Other,Maldives,2023-04-16,Free,Drama
26,Gary Church,41,Other,Colombia,2024-08-28,Free,Drama
27,Norma Mitchell,21,Female,Gambia,2023-01-27,Premium,Comedy
28,Mr. Jeffrey Brown Jr.,17,Male,Guinea-Bissau,2023-11-28,Premium,Romance
29,Brandon Smith,70,Male,India,2023-10-01,Premium,Drama
30,Michael Montgomery,43,Male,Cape Verde,2022-02-27,Premium,Drama
31,Jennifer Mcintosh,43,Other,Saint Martin,2023-01-12,Free,Horror
32,Shawn Liu,55,Female,Nepal,2022-08-25,Premium,Romance
33,Debbie Johnson,52,Female,Italy,2024-04-08,Free,Comedy
34,Daniel Garcia,31,Male,United States of America,2024-11-23,Free,Action
35,David Gordon,19,Female,Haiti,2024-07-25,Premium,Documentary
36,Daniel Mendoza,51,Other,Cote d'Ivoire,2023-04-17,VIP,Action
37,Mrs. Stephanie Franklin DDS,22,Other,Peru,2023-01-04,VIP,Sci-Fi
38,James Cole,19,Male,Norway,2023-03-28,VIP,Action
39,Monique Ford,46,Male,Tanzania,2022-09-29,VIP,Comedy
